O14773,TPP1_HUMAN,887,1
O14773,TPP1_HUMAN,950,1
O14775,GNB5_HUMAN,225,1
O14775,GNB5_HUMAN,991,1
O14782,KIF3C_HUMAN,225,1
O14788,TNF11_HUMAN,225,1
O14788,TNF11_HUMAN,987,1
O14791,APOL1_HUMAN,225,1
O14802,RPC1_HUMAN,225,1
O14802,RPC1_HUMAN,1026,1
O14807,RASM_HUMAN,225,1
O14810,CPLX1_HUMAN,225,1
O14810,CPLX1_HUMAN,887,1
O14813,PHX2A_HUMAN,225,1
O14832,PAHX_HUMAN,209,1
O14832,PAHX_HUMAN,225,1
O14832,PAHX_HUMAN,682,1
O14832,PAHX_HUMAN,898,1
O14832,PAHX_HUMAN,958,1
O14832,PAHX_HUMAN,977,1
O14836,TR13B_HUMAN,225,1
O14862,AIM2_HUMAN,43,1
O14874,BCKD_HUMAN,225,1
O14874,BCKD_HUMAN,887,1
O14874,BCKD_HUMAN,991,1
O14874,BCKD_HUMAN,1269,1
O14896,IRF6_HUMAN,225,1
O14901,KLF11_HUMAN,219,1
O14901,KLF11_HUMAN,225,1
O14908,GIPC1_HUMAN,912,1
O14908,GIPC1_HUMAN,1215,1
O14920,IKKB_HUMAN,225,1
O14920,IKKB_HUMAN,705,1
O14926,FSCN2_HUMAN,682,1
O14936,CSKP_HUMAN,225,1
O14936,CSKP_HUMAN,991,1
O14949,QCR8_HUMAN,225,1
O14949,QCR8_HUMAN,1274,1
O14958,CASQ2_HUMAN,225,1
O14965,AURKA_HUMAN,656,1
O14974,MYPT1_HUMAN,225,1
O14979,HNRDL_HUMAN,225,1
O14979,HNRDL_HUMAN,947,1
O14983,AT2A1_HUMAN,225,1
O15013,ARHGA_HUMAN,225,1
O15020,SPTN2_HUMAN,225,1
O15020,SPTN2_HUMAN,950,1
O15040,TCPR2_HUMAN,890,1
O15047,SET1A_HUMAN,225,1
O15047,SET1A_HUMAN,887,1
O15054,KDM6B_HUMAN,225,1
O15054,KDM6B_HUMAN,991,1
O15055,PER2_HUMAN,225,1
O15066,KIF3B_HUMAN,225,1
O15066,KIF3B_HUMAN,682,1
O15066,KIF3B_HUMAN,1186,1
O15068,MCF2L_HUMAN,656,1
O15072,ATS3_HUMAN,225,1
O15078,CE290_HUMAN,83,1
O15078,CE290_HUMAN,225,1
O15078,CE290_HUMAN,550,1
O15078,CE290_HUMAN,901,1
O15078,CE290_HUMAN,979,1
O15078,CE290_HUMAN,980,1
O15078,CE290_HUMAN,981,1
O15078,CE290_HUMAN,983,1
O15078,CE290_HUMAN,991,1
O15117,FYB1_HUMAN,225,1
O15118,NPC1_HUMAN,225,1
O15118,NPC1_HUMAN,1054,1
O15119,TBX3_HUMAN,225,1
O15120,PLCB_HUMAN,219,1
O15120,PLCB_HUMAN,225,1
O15120,PLCB_HUMAN,1022,1
O15121,DEGS1_HUMAN,225,1
O15121,DEGS1_HUMAN,1026,1
O15143,ARC1B_HUMAN,225,1
O15146,MUSK_HUMAN,225,1
O15146,MUSK_HUMAN,1004,1
O15151,MDM4_HUMAN,225,1
O15160,RPAC1_HUMAN,225,1
O15160,RPAC1_HUMAN,1026,1
O15164,TIF1A_HUMAN,43,1
O15169,AXIN1_HUMAN,43,1
O15169,AXIN1_HUMAN,225,1
O15178,TBXT_HUMAN,225,1
O15198,SMAD9_HUMAN,225,1
O15228,GNPAT_HUMAN,225,1
O15228,GNPAT_HUMAN,242,1
O15228,GNPAT_HUMAN,685,1
O15228,GNPAT_HUMAN,898,1
O15232,MATN3_HUMAN,225,1
O15232,MATN3_HUMAN,242,1
O15239,NDUA1_HUMAN,225,1
O15239,NDUA1_HUMAN,1274,1
O15247,CLIC2_HUMAN,225,1
O15247,CLIC2_HUMAN,991,1
O15259,NPHP1_HUMAN,225,1
O15259,NPHP1_HUMAN,901,1
O15259,NPHP1_HUMAN,979,1
O15259,NPHP1_HUMAN,980,1
O15259,NPHP1_HUMAN,983,1
O15265,ATX7_HUMAN,225,1
O15265,ATX7_HUMAN,950,1
O15266,SHOX_HUMAN,225,1
O15266,SHOX_HUMAN,242,1
O15269,SPTC1_HUMAN,225,1
O15269,SPTC1_HUMAN,523,1
O15269,SPTC1_HUMAN,622,1
O15270,SPTC2_HUMAN,225,1
O15270,SPTC2_HUMAN,523,1
O15270,SPTC2_HUMAN,622,1
O15273,TELT_HUMAN,122,1
